,Gene,Product,Start,End,Length
0,ORF1AB,ORF1AB POLYPROTEIN,265,21555,21290
1,ORF1AB,ORF1A POLYPROTEIN,265,13483,13218
2,S,SURFACE GLYCOPROTEIN,21562,25384,3822
3,ORF3A,ORF3A PROTEIN,25392,26220,828
4,E,ENVELOPE PROTEIN,26244,26472,228
5,M,MEMBRANE GLYCOPROTEIN,26522,27191,669
6,ORF6,ORF6 PROTEIN,27201,27387,186
7,ORF7A,ORF7A PROTEIN,27393,27759,366
8,ORF7B,ORF7B,27755,27887,132
9,ORF8,ORF8 PROTEIN,27893,28259,366
10,N,NUCLEOCAPSID PHOSPHOPROTEIN,28273,29533,1260
11,ORF10,ORF10 PROTEIN,29557,29674,117
